Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Recipe,HealthyLabel,ModelPrediction,Timestamp,ModelName,key,ID
283.8355858,9.240292431,5.415391686,0.232738,2.245462137,0.481899596,45.82638787,7.898386082,4.014106736,7.966770751,22.74,57.94734438,Baked Potatoes With Broccoli and Sour Cream,healthy,healthy,2/22/2020 15:36,David,283.83558589.2402924315.4153916860.2327382.2454621370.48189959645.826387877.8983860824.0141067367.966770751,46
289.7264735,10.69554243,5.510907495,0.167120439,3.598158613,0.621738495,39.87755176,4.881223745,1.791076368,9.774852212,24.38058989,124.0982077,Baked Potatoes with Cheddar Sour Cream,healthy,healthy,2/22/2020 15:36,David,289.726473510.695542435.5109074950.1671204393.5981586130.62173849539.877551764.8812237451.7910763689.774852212,47
262.7166736,8.958699403,3.296990058,0,4.449447186,0.775165993,39.24134445,5.969193777,3.88487039,8.411660595,15.81,42.48524429,Baked Potatoes With Ricotta and Roasted Tomatoes,healthy,healthy,2/22/2020 15:36,David,262.71667368.958699402999993.29699005804.4494471860.77516599339.241344455.9691937773.884870398.411660595,48
698.2409515,30.26058287,17.33788031,0.465476,8.127595178,1.596714597,78.2829385,5.167909584,8.667121672,30.17816157,112.3111603,816.0062185,Baked Spinach Ravioli,healthy,unhealthy,2/22/2020 15:36,David,698.24095149999930.2605828717.337880310.4654768.1275951781.5967145969999978.28293855.167909583999998.66712167230.17816157,49
1091.363875,38.69525625,3.963220625,0,10.1599375,19.12936563,152.2923625,12.8509375,4.85675,42.34409375,0,1115.910647,"Baked yam & tofu with purple rice, kale pesto & sprouts",healthy,healthy,2/22/2020 15:36,David,1091.36387538.695256253.963220625010.159937519.12936563152.292362512.85093754.8567542.34409375,50
405.1985,18.45780556,1.932304444,0,8.003748778,6.642764167,50.82643833,6.578377778,15.64723222,12.33774889,0,896.3511667,Balsamic Mushroom Quinoa,healthy,unhealthy,2/22/2020 15:36,David,405.198518.457805561.93230444408.0037487786.64276416750.826438336.5783777779999915.6472322212.33774889,51
158.9139583,4.61978125,0.3458425,0,2.382974688,1.454663021,26.90311042,3.513635417,14.71947396,4.452027083,0,57.99197917,Banana-Spinach Smoothie,healthy,healthy,2/22/2020 15:36,David,158.91395834.619781250.345842502.3829746881.45466302126.903110423.5136354169999914.719473964.452027083,52
151.3240208,5.592145417,0.861791583,0.002975,3.535109521,0.928629875,23.32691771,4.60045625,3.557685833,4.156416042,0,206.445,Barley and Corn Salad,healthy,healthy,2/22/2020 15:36,David,151.32402085.5921454170.8617915829999990.0029753.5351095210.92862987523.326917714.600456253.5576858334.156416042,53
222.9905217,8.729381702,2.550795714,0,4.631034374,1.053023402,28.20401658,9.439835872,2.794307763,10.2661406,5.175,95.33066908,Barley And Lentil Salad With Goat Cheese,healthy,healthy,2/22/2020 15:36,David,222.9905216999998.7293817022.55079571404.631034373999991.05302340228.204016589.4398358722.79430776310.2661406,54
646.6395169,31.40347858,20.25264301,0.02765,6.29398659,3.122731562,75.49328165,15.35685,5.816005,22.93435499,7.9625,117.7468533,Barley and Lentil Soup,healthy,healthy,2/22/2020 15:36,David,646.639516931.4034785820.252643010.027656.293986593.12273156275.4932816515.356855.81600522.93435499,55
304.2425569,12.98567014,5.495493188,0.155158667,5.460753917,0.948096092,38.73015011,8.834477649,5.556620558,11.06495513,19.78166667,583.0573434,Barley and Shiitake Mushroom Risotto,healthy,healthy,2/22/2020 15:36,David,304.24255689999912.985670145.495493187999990.1551586675.4607539170.94809609238.730150118.8344776495.55662055811.06495513,56
115.6164438,4.300729397,0.816317483,0.694866667,1.901664368,1.346877196,17.54171523,5.21315815,4.427987387,3.141878512,0,1029.040907,Barley and Vegetable Soup,healthy,healthy,2/22/2020 15:36,David,115.61644384.3007293970.8163174830.6948666671.9016643681.3468771959999917.541715235.213158154.4279873873.141878512,57
197.69075,9.212755,1.951404667,0,5.653545417,1.1482775,24.35029417,5.755425,1.131902222,5.510495833,4.915555556,264.1183333,Barley Bowl,healthy,healthy,2/22/2020 15:36,David,197.690759.2127551.9514046669999905.6535454171.148277524.350294175.7554251.1319022225.51049583299999,58
178.0233413,6.99031866,0.691047157,0,1.437352753,4.131140052,24.68532902,6.372960272,2.307772169,5.380091722,0,442.7245287,"Barley, Brussels Sprout and Pine Nut Pilaf",healthy,healthy,2/22/2020 15:36,David,178.02334136.990318660.69104715701.4373527534.13114005224.685329026.3729602722.3077721695.380091722,59
344.1627597,14.20564885,4.782137692,0.222827252,6.620320753,1.387055838,42.86494697,9.070961232,5.486572568,10.68188039,19.27767573,691.4443365,"Barley, Butternut Squash, and Shiitake Risotto",healthy,healthy,2/22/2020 15:36,David,344.162759714.205648854.7821376920.2228272526.6203207531.38705583842.864946979.0709612325.48657256810.68188039,60
332.4204472,13.91054923,1.948226158,0.00050625,8.650479294,2.342242025,47.21556276,14.12406316,6.048081959,9.174794756,0,340.7411319,Barley Gazpacho Salad,healthy,healthy,2/22/2020 15:36,David,332.420447213.910549231.9482261580.000506258.6504792942.34224202547.2155627614.124063166.0480819599.174794756,61
249.4368831,9.518349505,2.136244275,0,5.534862747,1.302274595,35.7628412,10.16190742,7.324399115,8.386012898,5.72,1246.626962,Barley Minestrone,healthy,healthy,2/22/2020 15:36,David,249.43688319.5183495052.13624427505.5348627471.30227459535.762841210.161907427.3243991158.38601289799999,62
149.7659317,5.625815161,1.269864809,0,3.292624462,0.754962469,21.69917941,5.6435497,4.537488063,4.832857019,3.432,716.7407754,Barley Minestrone recipes,healthy,healthy,2/22/2020 15:36,David,149.7659316999995.6258151611.26986480903.2926244620.75496246921.699179415.64354974.5374880634.83285701899999,63
159.4215,6.626085,0.956448167,0,2.413017333,2.900849833,21.35613167,3.853066667,0.41425,5.24837,0,60.3765,Barley Onion Crackers,healthy,healthy,2/22/2020 15:36,David,159.42156.6260850.95644816702.4130173332.90084983321.356131673.8530666670.414255.24836999999999,64
203.6916667,7.43145,1.335833333,0.042126667,4.279943333,1.324893333,27.96866667,3.043333333,8.882066667,7.656883333,64.45,249.1166667,Barley Pancakes I,healthy,healthy,2/22/2020 15:36,David,203.6916666999997.431451.3358333330.0421266674.2799433331.32489333327.968666673.0433333338.8820666677.656883333,65
145.2645934,6.148258999,2.270643717,0,2.846463396,0.666072716,18.34061329,4.6065,2.543172073,5.749138798,10.09243023,423.4756457,"Barley ""Pasta"" Salad",healthy,healthy,2/22/2020 15:36,David,145.26459346.148258998999992.27064371702.8464633960.66607271618.340613294.60652.5431720735.749138798,66
420.2935548,14.11802618,4.036233318,0.16653375,4.265856477,2.069820802,59.89980892,18.16218961,1.485060976,18.09330994,15.07603933,720.6027097,Barley Pilaf with Artichoke Hearts,healthy,healthy,2/22/2020 15:36,David,420.293554814.118026184.0362333180.166533754.2658564772.0698208019999959.8998089218.162189611.48506097618.09330994,67
326.3778727,11.18812042,3.06634285,0.116369,5.835143717,1.530886358,45.43231695,10.35768344,4.708382789,10.29042754,7.6325,315.9492094,Barley Pilaf with Sautéed Mushrooms,healthy,healthy,2/22/2020 15:36,David,326.377872711.188120423.066342850.1163695.8351437171.53088635845.4323169510.357683444.70838278910.29042754,68
469.0806153,21.94221282,2.511533106,0,15.26576694,3.133009944,55.43575336,15.75177116,5.862123709,13.83913143,0,607.6231928,Barley Risotto With Asparagus And Hazelnuts,healthy,healthy,2/22/2020 15:36,David,469.080615321.942212822.511533106015.265766943.13300994455.4357533615.751771165.86212370913.83913143,69
393.4212501,15.1031586,8.926027449,0.08195,3.856488005,0.910549699,35.20384019,7.425057757,3.90124125,11.41597811,39.92937455,898.8548495,Barley Risotto With Blue Cheese And Spinach Recipe,healthy,unhealthy,2/22/2020 15:36,David,393.421250115.10315868.9260274490.081953.8564880050.91054969935.203840197.4250577573.9012412511.41597811,70
412.811682,17.29856937,10.3164596,0.170685766,4.42547301,0.992849143,35.20066815,7.423160257,3.902817456,11.43820844,45.7494446,905.1325044,Barley Risotto With Blue Cheese And Spinach recipes,healthy,unhealthy,2/22/2020 15:36,David,412.81168199999917.2985693710.31645959999990.1706857664.425473010.99284914299999935.200668157.4231602573.90281745611.43820844,71
